0.0519112100,0.0078857400,0.05156132000.0400878400,0.0153147800,0.0425433200,0.0418165300,0.0234642100,0.04689926000.0420070100,0.0253379400,0.0464002900,0.0452362900,0.0151153300,0.04488191000.0441608700,0.0137306700,0.0442410700,0.0428301300,0.0152523900,0.04078054000.0400689400,0.0098127360,0.0403106100,0.0370187000,0.0216968200,0.04096493000.0344467800,0.0241160600,0.0409429600
0.0518752700,0.0079814530,0.05154322000.0400623700,0.0151194700,0.0424509500,0.0418243800,0.0235252300,0.04694770000.0420238900,0.0253710900,0.0464163700,0.0452159300,0.0151614600,0.04488933000.0441646100,0.0137646100,0.0442454700,0.0428137900,0.0152448200,0.04076724000.0400652800,0.0098207680,0.0403057800,0.0369785500,0.0216465100,0.04091495000.0344426300,0.0241207400,0.0409343500
0.0518230500,0.0080887480,0.05150501000.0400148800,0.0149380800,0.0423462000,0.0418338400,0.0236511800,0.04703179000.0420437000,0.0254223700,0.0464424600,0.0451857600,0.0152327400,0.04490459000.0441725900,0.0138204200,0.0442539500,0.0428019900,0.0152331200,0.04075998000.0400654100,0.0098302730,0.0403041900,0.0369561600,0.0216233600,0.04089312000.0344418200,0.0241290000,0.0409312300
0.0518114200,0.0081407520,0.05149862000.0400012600,0.0148562400,0.0423064400,0.0418614300,0.0238099100,0.04714195000.0420588700,0.0254705300,0.0464729500,0.0451761100,0.0153371300,0.04494777000.0441830500,0.0138787700,0.0442684000,0.0428245300,0.0152072300,0.04079195000.0400807700,0.0098457760,0.0403154600,0.0369649800,0.0215959600,0.04090101000.0344521100,0.0241376300,0.0409355700
0.0517989500,0.0082834570,0.05150723000.0399885100,0.0146129600,0.0422112100,0.0419140800,0.0240103800,0.04730210000.0420906400,0.0255378400,0.0465195100,0.0451570900,0.0155022300,0.04501950000.0442028100,0.0139799700,0.0442920700,0.0428488600,0.0151598100,0.04083408000.0401033300,0.0098783320,0.0403306200,0.0369528800,0.0215374700,0.04089113000.0344656400,0.0241608100,0.0409387300
0.0517521200,0.0084602600,0.05148936000.0399497300,0.0143200700,0.0420771200,0.0419315300,0.0241582700,0.04739878000.0421025900,0.0255826000,0.0465454800,0.0451114600,0.0156489100,0.04504664000.0442030200,0.0140533400,0.0442982200,0.0428243500,0.0150870200,0.04080850000.0401062100,0.0098828140,0.0403245000,0.0369412300,0.0215264600,0.04089692000.0344731000,0.0241849300,0.0409420500
0.0517289900,0.0086254990,0.05149682000.0399346800,0.0140474800,0.0419713100,0.0419461300,0.0241603700,0.04740986000.0421035300,0.0255782500,0.0465487100,0.0450792100,0.0157732600,0.04506598000.0441965700,0.0140972700,0.0442999000,0.0428161600,0.0150301600,0.04079858000.0401114600,0.0098828750,0.0403226900,0.0369652900,0.0215906300,0.04096761000.0344850200,0.0242174100,0.0409556900
0.0517471700,0.0087147220,0.05152492000.0399440600,0.0139175300,0.0419378000,0.0419722900,0.0241607000,0.04743050000.0421079300,0.0255740800,0.0465542500,0.0450618300,0.0159029500,0.04509779000.0441922300,0.0141336400,0.0443057300,0.0428250100,0.0149839300,0.04079868000.0401191700,0.0098672630,0.0403254300,0.0369942200,0.0216025800,0.04100975000.0344987700,0.0242295900,0.0409666200
0.0517488500,0.0088003220,0.05153162000.0399305700,0.0138132400,0.0418931000,0.0419978100,0.0241543700,0.04745818000.0421261900,0.0255870200,0.0465640600,0.0450452100,0.0159830100,0.04512081000.0441941400,0.0141701700,0.0443111700,0.0427938800,0.0148852100,0.04074803000.0401178800,0.0098346280,0.0403135900,0.0369744400,0.0215127700,0.04095810000.0345038300,0.0242232100,0.0409613700
0.0517681000,0.0088702720,0.05154590000.0399199800,0.0137541800,0.0418671400,0.0420190700,0.0241450600,0.04748425000.0421484200,0.0256051300,0.0465742800,0.0450356300,0.0159660600,0.04511656000.0441991100,0.0141846000,0.0443110200,0.0427300400,0.0147780800,0.04066177000.0401058500,0.0097962870,0.0402903300,0.0369169100,0.0214033600,0.04085982000.0344972500,0.0242119900,0.0409460000
